2026-05-14 01:51:10,400 [INFO] Scrape started | date: 2026-05-13
2026-05-14 01:51:10,401 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2026-05-14 01:51:10,598 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2026-05-14 01:51:20,430 [INFO] Phone migrated to 4
2026-05-14 01:51:20,634 [INFO] Reconnecting to new data center 4
2026-05-14 01:51:20,948 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-14 01:51:20,948 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2026-05-14 01:51:20,949 [INFO] Connecting to 149.154.167.92:443/TcpFull...
2026-05-14 01:51:22,994 [INFO] Connection to 149.154.167.92:443/TcpFull complete!
2026-05-14 01:55:39,094 [INFO] Telegram client connected
2026-05-14 01:55:39,095 [INFO] Starting scrape: CheMed123
2026-05-14 01:55:39,819 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:40,430 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:41,152 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:41,571 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:42,009 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:42,606 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:43,217 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:43,620 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:44,380 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:45,027 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:45,690 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:46,356 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:46,720 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:47,117 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:47,816 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:48,243 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:48,916 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:49,761 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:50,452 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:51,164 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:51,931 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:52,677 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:53,504 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:54,559 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:55,732 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:56,711 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:57,242 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:57,775 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:58,091 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:58,962 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:55:59,838 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:00,487 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:00,892 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:01,343 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:01,733 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:02,566 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:03,019 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:03,517 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:03,920 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:04,381 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:05,026 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
